Temperature,Humidity,Light,CO2,Occupancy,Weekend
21.76,31.1333333333333,437.333333333333,1029.66666666667,1,no
21.79,31.0,437.333333333333,1000.0,1,no
21.7675,31.1225,434.0,1003.75,1,no
21.7675,31.1225,439.0,1009.5,1,no
21.79,31.1333333333333,437.333333333333,1005.6666666666699,1,no
21.76,31.26,437.333333333333,1014.3333333333301,1,no
21.79,31.1975,434.0,1018.5,1,no
21.79,31.393333333333302,437.333333333333,1018.6666666666699,1,no
21.79,31.3175,434.0,1022.0,1,no
21.79,31.463333333333303,437.333333333333,1027.33333333333,1,no
21.79,31.525,437.75,1047.75,1,no
21.79,31.575,441.75,1049.0,1,no
21.79,31.395,442.0,1061.5,1,no
21.79,31.3925,441.75,1049.0,1,no
21.79,31.5,441.5,1048.0,1,no
21.815,31.5,438.0,1049.25,1,no
21.815,31.4725,449.5,1051.25,1,no
21.89,31.6,449.5,1060.5,1,no
21.79,31.55,449.5,1059.5,1,no
21.823333333333302,31.73,447.666666666667,1072.0,1,no
21.865,31.7225,449.5,1072.33333333333,1,no
21.89,31.745,449.5,1075.33333333333,1,no
21.89,31.7675,449.5,1087.0,1,no
21.89,31.7675,437.75,1083.25,1,no
21.89,31.79,442.666666666667,1086.33333333333,1,no
21.89,31.79,437.333333333333,1091.0,1,no
21.89,31.89,439.0,1100.0,1,no
21.89,31.89,444.0,1101.0,1,no
21.89,31.865,444.0,1107.0,1,no
21.89,31.79,444.0,1110.0,1,no
21.89,31.865,444.0,1101.75,1,no
21.89,31.73,444.0,1100.0,1,no
21.89,31.7225,444.0,1092.75,1,no
21.89,31.7,444.0,1092.5,1,no
21.89,31.695,436.5,1094.0,1,no
21.89,31.5666666666667,434.0,1085.66666666667,1,no
21.89,31.55,436.5,1047.0,0,no
21.89,31.36,434.0,1031.0,0,no
21.89,31.125,432.75,977.5,0,no
21.89,31.15,436.5,961.25,1,no
21.89,31.0633333333333,434.0,948.0,1,no
21.89,30.77,429.0,913.25,1,no
21.89,30.7675,432.75,882.5,1,no
21.89,30.945,429.0,884.5,1,no
21.89,30.7925,429.0,899.0,1,no
21.89,30.77,432.75,888.25,1,no
21.89,30.795,436.5,878.5,1,no
21.89,30.8175,429.0,891.25,1,no
21.89,30.65,436.5,896.5,1,no
21.89,30.7475,429.0,889.5,1,no
21.89,30.7633333333333,429.0,887.333333333333,1,no
21.89,30.77,429.0,893.5,1,no
21.89,30.445,429.0,832.5,1,no
21.89,30.5666666666667,429.0,829.0,1,no
21.89,30.5,429.0,829.25,1,no
21.89,30.575,429.0,850.5,1,no
21.89,30.6,429.0,844.0,1,no
21.89,30.55,429.0,840.25,1,no
21.865,30.55,429.0,823.75,1,no
21.89,30.6,429.0,824.0,1,no
21.89,30.34,429.0,813.0,1,no
21.89,30.356666666666698,429.0,802.0,1,no
21.865,30.3925,429.0,810.75,1,no
21.89,30.356666666666698,429.0,805.333333333333,1,no
21.89,30.315,429.0,796.5,1,no
21.89,30.2,429.0,795.0,1,no
21.89,30.34,429.0,793.5,1,no
21.89,30.295,429.0,790.5,1,no
21.89,30.29,429.0,786.5,1,no
21.89,30.39,429.0,794.333333333333,1,no
21.89,30.365,429.0,795.5,1,no
21.89,30.426666666666698,414.0,792.666666666667,1,no
21.89,30.73,424.0,798.0,1,no
21.89,30.4175,429.0,795.5,1,no
21.89,30.39,429.0,797.75,1,no
21.89,30.39,429.0,798.0,1,no
21.89,30.445,429.0,802.0,1,no
21.89,30.356666666666698,421.5,797.5,1,no
21.89,30.323333333333302,429.0,791.5,1,no
21.89,30.32,418.75,788.25,1,no
21.89,30.39,429.0,792.25,1,no
21.89,30.39,429.0,795.5,1,no
21.89,30.365,429.0,793.5,1,no
21.89,30.23,429.0,789.333333333333,1,no
21.89,30.2,429.0,786.0,1,no
21.89,30.0225,429.0,771.75,1,no
21.89,29.96,429.0,760.0,1,no
21.89,29.9175,429.0,756.0,1,no
21.89,30.1,429.0,754.0,1,no
21.89,30.15,416.5,759.0,1,no
21.89,30.1333333333333,421.666666666667,756.666666666667,1,no
21.89,30.47,438.0,764.25,1,no
21.89,30.1666666666667,441.0,768.0,1,no
21.89,30.075,438.0,770.25,1,no
21.89,30.125,438.0,766.25,1,no
21.89,30.175,438.0,767.75,1,no
21.89,30.295,438.0,777.0,1,no
21.89,30.2,441.0,775.333333333333,1,no
21.89,30.2,436.333333333333,768.0,1,no
21.865,30.15,438.0,766.75,1,no
21.89,30.075,438.0,772.5,1,no
21.89,30.0725,435.5,774.75,1,no
21.89,30.03,435.0,766.333333333333,1,no
21.89,29.9175,434.5,752.0,1,no
21.89,30.1,430.5,754.0,1,no
21.89,30.1,441.0,755.0,1,no
21.89,30.075,431.0,763.25,1,no
21.89,30.1975,425.0,769.5,1,no
21.89,30.23,419.0,769.333333333333,1,no
21.9175,30.5475,395.25,772.25,1,no
21.963333333333303,30.7933333333333,426.666666666667,784.666666666667,1,no
21.9725,30.2,424.75,784.25,1,no
22.0,30.175,423.5,794.25,1,no
21.945,30.245,423.5,791.0,1,no
21.926666666666698,30.29,426.666666666667,791.333333333333,1,no
21.9725,30.175,428.25,793.25,1,no
21.89,30.245,433.0,787.5,1,no
21.926666666666698,30.356666666666698,433.0,789.0,1,no
21.945,30.1725,428.25,782.75,1,no
21.9175,30.34,428.25,783.5,1,no
21.926666666666698,30.29,426.666666666667,791.0,1,no
21.9175,30.2925,428.25,786.0,1,no
21.9175,30.27,433.0,786.5,1,no
21.926666666666698,30.196666666666697,433.0,786.333333333333,1,no
21.89,30.34,428.25,786.333333333333,1,no
21.945,30.34,433.0,787.666666666667,1,no
21.945,30.39,433.0,786.5,1,no
21.89,30.365,433.0,791.75,1,no
21.89,30.39,433.0,788.0,1,no
21.9175,30.4725,433.0,797.75,1,no
21.9175,30.39,433.0,801.75,1,no
21.945,30.5,433.0,803.5,1,no
21.89,30.4725,433.0,811.0,1,no
21.89,30.426666666666698,433.0,803.666666666667,1,no
21.9725,30.5,433.0,801.5,1,no
21.945,30.5,433.0,804.0,1,no
21.9725,30.4175,433.0,807.0,1,no
21.945,30.3675,433.0,801.75,1,no
21.9725,30.4725,433.0,796.25,1,no
21.926666666666698,30.533333333333303,433.0,807.0,1,no
21.9725,30.55,433.0,823.75,1,no
21.89,30.463333333333303,433.0,818.0,1,no
21.956,30.458000000000002,433.0,807.5,1,no
21.9175,30.5,433.0,814.0,1,no
21.963333333333303,30.39,433.0,804.25,1,no
21.945,30.445,433.0,805.0,1,no
21.945,30.3975,433.0,805.75,1,no
21.945,30.3425,433.0,799.25,1,no
22.0,30.445,433.0,797.0,1,no
21.9725,30.4175,433.0,798.25,1,no
22.0,30.2,433.0,784.5,1,no
21.926666666666698,30.3266666666667,423.666666666667,780.666666666667,1,no
21.9725,30.365,433.0,782.75,1,no
21.89,30.39,426.0,787.0,1,no
21.89,30.245,426.0,790.5,1,no
21.89,30.3175,429.5,782.25,1,no
21.89,30.196666666666697,423.666666666667,778.0,1,no
21.89,30.2475,422.5,778.0,1,no
21.89,30.1333333333333,428.333333333333,773.333333333333,1,no
21.89,30.175,419.0,766.25,1,no
21.89,30.125,419.0,756.25,1,no
21.89,30.175,419.0,751.333333333333,1,no
21.89,30.033333333333303,419.0,746.5,1,no
21.89,29.8675,419.0,740.5,1,no
21.84,29.84,419.0,735.0,1,no
21.89,29.89,419.0,719.0,1,no
21.815,29.84,419.0,718.0,1,no
21.823333333333302,29.856666666666698,419.0,716.0,1,no
21.84,29.84,419.0,712.25,1,no
21.815,29.815,419.0,708.5,1,no
21.84,29.795,419.0,702.0,1,no
21.823333333333302,29.823333333333302,419.0,702.0,1,no
21.815,29.7475,419.0,695.75,1,no
21.79,29.73,419.0,686.666666666667,1,no
21.815,29.55,419.0,679.75,1,no
21.79,29.5,419.0,674.0,1,no
21.79,29.3675,419.0,669.25,1,no
21.79,29.745,419.0,667.5,1,no
21.815,29.6725,419.0,679.0,1,no
21.79,29.6,419.0,678.0,1,no
21.84,29.55,419.0,674.0,1,no
21.79,29.4725,419.0,666.5,1,no
21.79,29.34,419.0,665.666666666667,1,no
21.89,29.29,419.0,648.666666666667,1,no
21.84,29.315,419.0,643.25,1,no
21.89,29.29,419.0,635.0,1,no
21.865,29.29,419.0,636.25,1,no
21.89,29.34,419.0,636.25,1,no
21.89,29.29,419.0,639.0,1,no
21.856666666666698,29.4333333333333,419.0,640.333333333333,1,no
21.89,29.2675,419.0,639.75,1,no
21.89,29.245,419.0,638.5,1,no
21.89,29.42,415.5,643.5,1,no
21.89,29.7725,415.0,648.0,1,no
21.89,29.7475,419.0,656.75,1,no
21.89,29.4566666666667,419.0,655.666666666667,1,no
21.89,29.2675,419.0,646.75,1,no
21.89,29.29,419.0,643.0,1,no
21.89,29.23,419.0,639.0,1,no
21.89,29.2,419.0,633.5,1,no
21.865,29.125,419.0,631.0,1,no
21.89,29.125,419.0,626.0,1,no
21.815,28.9725,419.0,614.75,1,no
21.79,28.89,419.0,606.0,1,no
21.823333333333302,28.856666666666698,419.0,603.0,1,no
21.79,28.79,419.0,600.75,1,no
21.79,28.695,419.0,601.0,1,no
21.79,28.6333333333333,419.0,601.666666666667,1,no
21.79,28.7225,419.0,597.25,1,no
21.79,28.6475,419.0,596.5,1,no
21.79,28.533333333333303,419.0,596.666666666667,1,no
21.79,28.525,419.0,595.25,1,no
21.79,28.42,419.0,588.5,1,no
21.79,28.55,419.0,585.0,1,no
21.7675,28.5,419.0,585.75,1,no
21.7,28.445,412.0,584.5,1,no
21.7,28.5,279.33333333333303,585.0,1,no
21.7,28.5666666666667,0.0,582.0,0,no
21.7,28.76,0.0,578.0,0,no
21.7,28.79,0.0,584.0,0,no
21.7,28.79,0.0,586.5,0,no
21.7,28.84,0.0,587.5,0,no
21.7,28.86,0.0,586.0,0,no
21.7,28.86,0.0,592.333333333333,0,no
21.7,28.79,0.0,590.0,0,no
21.6,28.895,0.0,590.0,0,no
21.6333333333333,28.79,0.0,590.5,0,no
21.6,28.73,0.0,593.5,0,no
21.6,28.79,0.0,595.0,0,no
21.6,28.79,0.0,594.666666666667,0,no
21.55,28.79,0.0,593.0,0,no
21.6,28.79,0.0,582.5,0,no
21.6,28.79,0.0,579.5,0,no
21.6,28.79,0.0,588.0,0,no
21.5,28.84,0.0,596.5,0,no
21.5,28.823333333333302,0.0,622.333333333333,0,no
21.5,28.79,0.0,606.0,0,no
21.5,29.6,0.0,605.0,0,no
21.5,28.995,0.0,642.5,0,no
21.39,29.015,0.0,604.25,0,no
21.39,29.445,0.0,596.0,0,no
21.39,29.2,0.0,612.0,0,no
21.39,29.1,0.0,720.5,0,no
21.323333333333302,29.33,0.0,1760.0,0,no
21.29,29.0,0.0,1665.0,0,no
21.29,29.03,0.0,1255.66666666667,0,no
21.29,29.2,0.0,724.0,0,no
21.29,29.1,0.0,619.0,0,no
21.29,29.9,0.0,562.5,0,no
21.29,29.926666666666698,0.0,582.0,0,no
21.29,29.8,0.0,616.0,0,no
21.245,29.55,0.0,648.5,0,no
21.2,29.5,0.0,673.0,0,no
21.2,30.1,0.0,608.0,0,no
21.2,29.6,0.0,752.0,0,no
21.2,30.45,0.0,621.5,0,no
21.2,30.0,0.0,589.333333333333,0,no
21.2,29.9,0.0,608.5,0,no
21.2,29.945,0.0,620.0,0,no
21.2,29.495,0.0,598.5,0,no
21.2,29.64,0.0,640.5,0,no
21.2,29.963333333333303,0.0,695.0,0,no
21.2,29.89,0.0,670.0,0,no
21.2,29.79,0.0,619.0,0,no
21.2,29.76,0.0,571.666666666667,0,no
21.2,29.995,0.0,533.5,0,no
21.1666666666667,29.996666666666698,0.0,618.666666666667,0,no
21.2,30.2,0.0,516.0,0,no
21.15,31.05,0.0,515.0,0,no
21.15,29.8,0.0,513.5,0,no
21.15,29.645,0.0,520.0,0,no
21.1,29.65,0.0,527.5,0,no
21.1,29.45,0.0,526.0,0,no
21.1,29.663333333333302,0.0,526.333333333333,0,no
21.1,29.795,0.0,528.0,0,no
21.1,29.89,0.0,524.0,0,no
21.1,29.695,0.0,524.5,0,no
21.1,29.896666666666697,0.0,521.333333333333,0,no
21.1,29.995,0.0,524.0,0,no
21.1,29.945,0.0,522.5,0,no
21.1,29.79,0.0,526.0,0,no
21.05,29.75,0.0,520.0,0,no
21.1,30.29,0.0,526.0,0,no
21.1,29.39,0.0,530.0,0,no
21.1,29.6,0.0,529.0,0,no
21.1,29.34,0.0,529.0,0,no
21.1,29.745,0.0,527.0,0,no
21.1,29.393333333333302,0.0,530.0,0,no
21.1,30.05,0.0,526.0,0,no
21.075,29.5,0.0,526.0,0,no
21.1,29.5,0.0,526.0,0,no
21.1,30.09,0.0,531.5,0,no
21.1,30.1,0.0,534.0,0,no
21.0,29.495,0.0,533.0,0,no
21.1,29.445,0.0,521.333333333333,0,no
21.1,29.645,0.0,523.5,0,no
21.1,30.1,0.0,521.0,0,no
21.0,29.945,0.0,522.0,0,no
21.1,29.6,0.0,520.0,0,no
21.025,30.1225,0.0,520.5,0,no
21.0,30.0,0.0,520.0,0,no
21.0,29.53,0.0,523.666666666667,0,no
21.0,29.55,0.0,520.0,0,no
21.0,29.195,0.0,524.5,0,no
21.0,29.53,0.0,519.333333333333,0,no
21.0,29.445,0.0,519.0,0,no
21.0,30.1,0.0,520.0,0,no
21.0,29.945,0.0,522.5,0,no
21.0,29.8,0.0,527.5,0,no
21.0,30.0666666666667,0.0,537.0,0,no
21.0,29.766666666666698,0.0,542.333333333333,0,no
21.0,29.5,0.0,548.0,0,no
21.0,29.995,0.0,545.5,0,no
21.0,29.926666666666698,0.0,549.666666666667,0,no
21.0,29.495,0.0,562.0,0,no
21.0,29.5,0.0,583.0,0,no
21.0,29.4475,0.0,552.0,0,no
21.0,29.696666666666697,0.0,540.0,0,no
21.0,29.445,0.0,527.333333333333,0,no
21.0,29.4,0.0,523.333333333333,0,no
21.0,29.495,0.0,517.0,0,no
21.0,30.06,0.0,517.333333333333,0,no
21.0,30.0,0.0,513.0,0,no
21.0,29.995,0.0,511.0,0,no
21.0,29.56,0.0,513.0,0,no
21.0,29.35,0.0,513.0,0,no
21.0,29.9,0.0,512.333333333333,0,no
21.0,29.8,0.0,510.5,0,no
20.926666666666698,29.5933333333333,0.0,512.0,0,no
20.945,29.445,0.0,509.0,0,no
20.945,29.6,0.0,502.5,0,no
21.0,29.55,0.0,503.0,0,no
21.0,29.6,0.0,502.0,0,no
21.0,29.2,0.0,502.0,0,no
21.0,29.23,0.0,500.0,0,no
21.0,29.745,0.0,504.0,0,no
21.0,29.245,0.0,506.5,0,no
21.0,30.09,0.0,497.0,0,no
20.9725,30.0475,0.0,493.5,0,no
20.945,30.4,0.0,494.5,0,no
20.926666666666698,30.0933333333333,0.0,499.666666666667,0,no
20.926666666666698,29.83,0.0,498.333333333333,0,no
20.89,30.29,0.0,498.0,0,no
20.89,29.35,0.0,499.0,0,no
20.89,29.7633333333333,0.0,501.666666666667,0,no
20.945,30.0,0.0,499.0,0,no
20.89,29.6175,0.0,492.25,0,no
20.89,29.79,0.0,495.0,0,no
20.89,29.92,0.0,492.0,0,no
20.89,29.3,0.0,494.5,0,no
20.89,29.5,0.0,499.0,0,no
20.89,29.5933333333333,0.0,497.333333333333,0,no
20.89,29.7,0.0,493.0,0,no
20.89,29.79,0.0,491.5,0,no
20.89,29.7675,0.0,492.0,0,no
20.89,29.495,0.0,492.0,0,no
20.89,30.42,0.0,486.0,0,no
20.89,29.6,0.0,488.0,0,no
20.856666666666698,29.626666666666697,0.0,491.333333333333,0,no
20.89,29.495,0.0,491.0,0,no
20.89,29.35,0.0,491.0,0,no
20.89,29.5,0.0,496.0,0,no
20.89,29.29,0.0,500.0,0,no
20.79,29.1666666666667,0.0,495.666666666667,0,no
20.89,29.65,0.0,489.0,0,no
20.89,29.65,0.0,489.0,0,no
20.79,29.5,0.0,489.0,0,no
20.856666666666698,29.533333333333303,0.0,495.0,0,no
20.823333333333302,30.126666666666697,0.0,494.0,0,no
20.79,29.2966666666667,0.0,495.5,0,no
20.84,30.045,0.0,495.0,0,no
20.79,29.545,0.0,493.5,0,no
20.79,29.495,0.0,494.0,0,no
20.79,29.29,0.0,496.0,0,no
20.79,29.395,0.0,486.0,0,no
20.79,30.25,0.0,485.0,0,no
20.79,29.34,0.0,490.0,0,no
20.79,29.3,0.0,488.0,0,no
20.76,29.5633333333333,0.0,484.666666666667,0,no
20.79,30.0966666666667,0.0,485.333333333333,0,no
20.79,29.89,0.0,487.5,0,no
